TYPE,SOURCE,DATE,SUMMARY,INDEXS,DATA,DATA_HR,SUMMARY_HR,SYNC,SYNC_QQHEALTH,TIME_ZONE,DEVICE_ID,USER_SUMMARY
0,5,2015-11-24,"{""v"":5,""slp"":{""st"":1448359740,""ed"":1448388060,""dp"":225,""lt"":247,""wk"":0},""stp"":{""ttl"":7723,""dis"":5283,""cal"":298,""wk"":100,""rn"":1,""runDist"":105,""runCal"":6},""goal"":10000}",,,,,1,1,,,
0,5,2015-11-25,"{""v"":5,""slp"":{""st"":1448427600,""ed"":1448427600,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":5382,""dis"":3569,""cal"":216,""wk"":83,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-11-26,"{""v"":5,""slp"":{""st"":1448521320,""ed"":1448555580,""dp"":225,""lt"":346,""wk"":0},""stp"":{""ttl"":9922,""dis"":6877,""cal"":396,""wk"":128,""rn"":1,""runDist"":128,""runCal"":7},""goal"":10000}",,,,,1,1,,,
0,5,2015-11-27,"{""v"":5,""slp"":{""st"":1448616840,""ed"":1448641260,""dp"":154,""lt"":251,""wk"":2},""stp"":{""ttl"":11678,""dis"":7926,""cal"":459,""wk"":158,""rn"":0,""runDist"":65,""runCal"":3},""goal"":10000}",,,,,1,1,,,
0,5,2015-11-28,"{""v"":5,""slp"":{""st"":1448702700,""ed"":1448725560,""dp"":142,""lt"":234,""wk"":5},""stp"":{""ttl"":8191,""dis"":5520,""cal"":322,""wk"":109,""rn"":0,""runDist"":96,""runCal"":5},""goal"":10000}",,,,,1,1,,,
0,5,2015-11-29,"{""v"":5,""slp"":{""st"":1448776800,""ed"":1448776800,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":5817,""dis"":3865,""cal"":232,""wk"":92,""rn"":1,""runDist"":128,""runCal"":7},""goal"":10000}",,,,,1,1,,,
0,5,2015-11-30,"{""v"":5,""slp"":{""st"":1448871120,""ed"":1448903280,""dp"":182,""lt"":352,""wk"":2},""stp"":{""ttl"":3318,""dis"":2274,""cal"":131,""wk"":48,""rn"":0,""runDist"":53,""runCal"":3},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-01,"{""v"":5,""slp"":{""st"":1448949600,""ed"":1448949600,""dp"":0,""lt"":0,""wk"":0},""stp"":{""ttl"":8119,""dis"":5782,""cal"":333,""wk"":112,""rn"":0,""runDist"":0,""runCal"":0},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-02,"{""v"":5,""slp"":{""st"":1449047160,""ed"":1449079620,""dp"":245,""lt"":296,""wk"":0},""stp"":{""ttl"":9579,""dis"":6840,""cal"":387,""wk"":119,""rn"":0,""runDist"":41,""runCal"":2},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-03,"{""v"":5,""slp"":{""st"":1449134100,""ed"":1449159780,""dp"":153,""lt"":224,""wk"":51},""stp"":{""ttl"":5989,""dis"":4362,""cal"":248,""wk"":76,""rn"":0,""runDist"":43,""runCal"":2},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-05,"{""v"":5,""slp"":{""st"":1449306480,""ed"":1449343860,""dp"":224,""lt"":388,""wk"":11},""stp"":{""ttl"":4572,""dis"":3041,""cal"":181,""wk"":71,""rn"":0,""runDist"":50,""runCal"":3},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-06,"{""v"":5,""slp"":{""st"":1449398700,""ed"":1449430560,""dp"":195,""lt"":328,""wk"":8},""stp"":{""ttl"":10874,""dis"":7302,""cal"":423,""wk"":152,""rn"":1,""runDist"":89,""runCal"":5},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-07,"{""v"":5,""slp"":{""st"":1449483420,""ed"":1449512340,""dp"":143,""lt"":275,""wk"":64},""stp"":{""ttl"":6209,""dis"":4546,""cal"":262,""wk"":80,""rn"":0,""runDist"":16,""runCal"":1},""goal"":10000}",,,,,1,1,,,
0,5,2015-12-08,"{""v"":5,""slp"":{""st"":1449571140,""ed"":1449590280,""dp"":130,""lt"":186,""wk"":3},""stp"":{""ttl"":15061,""dis"":10498,""cal"":597,""wk"":186,""rn"":1,""runDist"":159,""runCal"":9},""goal"":10000}",,,,,1,1,,,
