Body
Date,Weight,BMI,Fat
"2016-02-01","65.18","21.28","20"
"2016-02-02","65.25","21.31","20"
"2016-02-03","65.32","21.33","20"
"2016-02-04","65.39","21.35","20"
"2016-02-05","65.46","21.37","20"
"2016-02-06","65.53","21.4","20"
"2016-02-07","65.6","21.42","20"
"2016-02-08","65.75","21.47","20"
"2016-02-09","65.91","21.52","20"
"2016-02-10","66.06","21.57","20"
"2016-02-11","66.21","21.62","20"
"2016-02-12","66.36","21.67","20"
"2016-02-13","66.52","21.72","20"
"2016-02-14","66.67","21.77","20"
"2016-02-15","66.82","21.82","20"
"2016-02-16","66.98","21.87","20"
"2016-02-17","67.13","21.92","20"
"2016-02-18","67.28","21.97","20"
"2016-02-19","67.44","22.02","20"
"2016-02-20","67.6","22.07","20"
"2016-02-21","67.6","22.07","20"
"2016-02-22","67.6","22.07","20"
"2016-02-23","67.6","22.07","20"
"2016-02-24","67.6","22.07","20"
"2016-02-25","67.6","22.07","20"
"2016-02-26","67.6","22.07","20"
"2016-02-27","67.6","22.07","20"
"2016-02-28","67.6","22.07","20"
"2016-02-29","67.6","22.07","20"
"2016-03-01","67.6","22.07","20"
"2016-03-02","67.6","22.07","20"

Foods
Date,Calories In
"2016-02-01","0"
"2016-02-02","0"
"2016-02-03","0"
"2016-02-04","0"
"2016-02-05","0"
"2016-02-06","0"
"2016-02-07","0"
"2016-02-08","0"
"2016-02-09","0"
"2016-02-10","0"
"2016-02-11","0"
"2016-02-12","0"
"2016-02-13","0"
"2016-02-14","0"
"2016-02-15","0"
"2016-02-16","0"
"2016-02-17","0"
"2016-02-18","0"
"2016-02-19","0"
"2016-02-20","0"
"2016-02-21","0"
"2016-02-22","0"
"2016-02-23","0"
"2016-02-24","0"
"2016-02-25","0"
"2016-02-26","0"
"2016-02-27","0"
"2016-02-28","0"
"2016-02-29","0"
"2016-03-01","0"
"2016-03-02","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-02-01","2,421","6,172","4.48","7","830","198","0","0","811"
"2016-02-02","1,855","1,428","1.04","0","978","71","0","0","238"
"2016-02-03","2,223","4,552","3.3","15","813","153","8","0","620"
"2016-02-04","2,282","4,668","3.39","4","806","184","0","0","674"
"2016-02-05","2,207","4,508","3.27","2","860","176","0","0","645"
"2016-02-06","2,161","3,886","2.82","3","744","150","0","0","580"
"2016-02-07","2,463","7,635","5.54","10","797","229","8","4","964"
"2016-02-08","2,176","4,789","3.48","6","774","172","0","0","643"
"2016-02-09","1,958","1,492","1.08","0","932","99","0","0","316"
"2016-02-10","2,257","4,734","3.44","1","761","208","0","0","741"
"2016-02-11","2,116","3,060","2.22","1","872","157","0","0","536"
"2016-02-12","2,274","5,564","4.04","18","761","169","12","4","719"
"2016-02-13","2,299","5,009","3.64","4","851","190","0","0","708"
"2016-02-14","1,999","2,388","1.73","8","962","102","0","0","428"
"2016-02-15","2,113","4,360","3.17","3","787","138","0","0","546"
"2016-02-16","1,979","2,966","2.15","8","867","106","0","0","388"
"2016-02-17","2,112","2,186","1.59","0","865","141","0","0","464"
"2016-02-18","2,111","3,939","2.86","6","867","125","0","0","506"
"2016-02-19","2,494","6,545","4.75","6","923","213","5","3","918"
"2016-02-20","2,014","2,778","2.02","8","928","125","0","0","445"
"2016-02-21","1,739","369","0.27","0","1,410","30","0","0","93"
"2016-02-22","1,772","418","0.3","0","1,041","35","0","0","125"
"2016-02-23","2,286","6,095","4.42","1","1,253","162","12","13","755"
"2016-02-24","1,872","3,254","2.36","3","1,264","76","0","0","269"
"2016-02-25","2,213","4,466","3.24","5","760","204","0","0","709"
"2016-02-26","2,381","5,052","3.67","14","782","219","0","0","847"
"2016-02-27","2,756","12,805","9.3","47","675","279","3","15","1,346"
"2016-02-28","1,651","14","0.01","2","1,440","0","0","0","0"
"2016-02-29","2,069","2,341","1.7","4","1,321","119","0","0","478"
"2016-03-01","1,939","2,355","1.71","4","919","82","0","0","330"
"2016-03-02","2,131","4,402","3.2","7","1,231","140","0","0","562"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-02-01","398","14","9","412"
"2016-02-02","363","28","16","391"
"2016-02-03","395","69","36","466"
"2016-02-04","399","51","25","450"
"2016-02-05","376","28","14","404"
"2016-02-06","506","39","18","546"
"2016-02-07","372","30","12","402"
"2016-02-08","439","55","23","494"
"2016-02-09","360","47","27","409"
"2016-02-10","422","49","28","471"
"2016-02-11","369","38","19","411"
"2016-02-12","461","33","18","494"
"2016-02-13","347","52","27","399"
"2016-02-14","275","29","15","309"
"2016-02-15","448","64","31","515"
"2016-02-16","432","35","22","467"
"2016-02-17","372","61","34","434"
"2016-02-18","371","77","36","448"
"2016-02-19","274","22","14","296"
"2016-02-20","342","41","25","387"
"2016-02-21","0","0","0","0"
"2016-02-22","341","20","13","364"
"2016-02-23","0","0","0","0"
"2016-02-24","89","11","10","100"
"2016-02-25","435","41","24","476"
"2016-02-26","401","38","23","439"
"2016-02-27","412","50","28","468"
"2016-02-28","0","0","0","0"
"2016-02-29","0","0","0","0"
"2016-03-01","394","45","22","439"
"2016-03-02","69","0","0","69"

Food Log 20160201
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160202
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160203
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160204
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160205
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160206
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160207
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160208
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160209
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160210
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160211
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160212
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160213
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160214
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160215
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160216
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20160217
Daily Totals
"","Calories","0"
"","Fat","0 g"
