# Accelerometer Data File
# Started @Sat Jul 23 22:55:24 PDT 2016
#
#
# sensor Vendor: InvenSense
# sensor Name: MPU6515 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 19.613297; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-6.313 3.732 6.616 5
-6.327 3.696 6.612 5
-6.328 3.638 6.552 5
-6.343 3.592 6.515 5
-6.432 3.605 6.517 5
-6.495 3.63 6.565 5
-6.46 3.628 6.574 5
-6.387 3.649 6.53 5
-6.37 3.633 6.41 5
-6.406 3.618 6.334 5
-6.406 3.627 6.327 6
-6.403 3.625 6.38 5
-6.336 3.657 6.349 5
-6.281 3.619 6.298 5
-6.265 3.646 6.292 5
-6.287 3.739 6.349 5
-6.371 3.748 6.491 5
-6.341 3.687 6.508 5
-6.249 3.689 6.338 5
-6.307 3.697 6.343 5
-6.35 3.674 6.297 5
-6.34 3.713 6.381 5
-6.349 3.704 6.376 5
-6.279 3.629 6.395 5
-6.321 3.666 6.479 5
-6.362 3.659 6.528 5
-6.383 3.658 6.566 5
-6.304 3.659 6.609 5
-6.247 3.738 6.563 5
-6.182 3.751 6.643 5
-6.174 3.755 6.703 5
-6.161 3.804 6.753 5
-6.162 3.74 6.765 5
-6.157 3.685 6.781 5
-6.177 3.658 6.769 5
-6.196 3.661 6.681 5
-6.19 3.7 6.678 5
-6.181 3.734 6.636 5
-6.174 3.749 6.609 6
-6.175 3.748 6.538 5
-6.17 3.718 6.531 5
-6.145 3.682 6.545 5
-6.205 3.679 6.51 5
-6.275 3.701 6.5 5
-6.308 3.719 6.633 5
-6.291 3.68 6.768 5
-6.205 3.649 6.826 5
-6.115 3.638 6.798 5
-6.088 3.64 6.753 5
-6.08 3.664 6.796 5
-6.089 3.603 6.76 5
-6.1 3.579 6.695 5
-6.146 3.571 6.682 5
-6.187 3.582 6.736 5
-6.181 3.579 6.867 5
-6.156 3.578 6.836 5
-6.179 3.588 6.766 5
-6.162 3.562 6.689 5
-6.216 3.566 6.63 5
-6.244 3.598 6.669 5
-6.259 3.581 6.639 5
-6.252 3.528 6.64 5
-6.244 3.527 6.663 5
-6.227 3.595 6.634 5
-6.158 3.597 6.662 5
-6.209 3.658 6.667 5
-6.201 3.649 6.669 5
-6.179 3.635 6.641 6
-6.193 3.655 6.651 5
-6.122 3.613 6.627 5
-5.893 3.615 6.433 5
-5.974 3.606 6.311 5
-6.61 3.485 6.743 5
-6.704 3.434 6.747 5
-6.323 3.588 6.583 5
-6.215 3.63 6.91 5
-6.205 3.549 7.078 5
-6.137 3.552 6.939 5
-6.07 3.592 6.787 5
-6.084 3.587 6.674 5
-5.989 3.488 6.482 5
-5.921 3.497 6.21 5
-6.185 3.495 6.468 5
-6.417 3.498 6.626 5
-6.277 3.59 6.555 5
-6.12 3.542 6.755 5
-6.248 3.434 6.958 5
-6.307 3.455 6.967 5
-6.244 3.536 6.908 5
-6.187 3.516 6.926 5
-6.161 3.506 6.987 5
-6.169 3.478 6.943 5
-6.17 3.463 6.899 5
-6.142 3.494 6.877 5
-6.097 3.558 6.851 5
-6.121 3.524 6.931 6
-6.098 3.56 6.869 5
-6.103 3.542 6.929 5
-6.102 3.553 6.993 5
-6.134 3.534 7.004 5
-6.123 3.512 6.952 5
-6.147 3.521 6.987 5
-6.147 3.567 6.962 5
-6.142 3.524 6.98 5
-6.169 3.507 6.975 5
-6.15 3.514 6.998 5
-6.15 3.512 7.042 5
-6.156 3.485 7.031 5
-6.172 3.482 7.057 5
-6.137 3.472 7.038 5
-6.106 3.487 6.978 5
-6.11 3.519 6.884 5
-6.139 3.534 6.785 5
-6.124 3.533 6.78 5
-6.115 3.544 6.78 5
-6.099 3.557 6.828 5
-6.078 3.563 6.882 5
-6.033 3.577 6.841 5
-5.968 3.61 6.822 5
-5.909 3.655 6.777 5
-5.892 3.672 6.747 5
-5.919 3.666 6.756 5
-5.936 3.679 6.737 5
-5.988 3.682 6.779 6
-6.037 3.666 6.846 5
-6.056 3.644 6.794 5
-6.104 3.617 6.799 5
-6.151 3.612 6.811 5
-6.117 3.644 6.743 5
-6.131 3.699 6.665 5
-6.168 3.732 6.662 5
-6.22 3.743 6.564 5
-6.225 3.752 6.505 5
-6.153 3.721 6.447 5
-6.23 3.726 6.315 5
-6.31 3.788 6.132 5
-6.361 3.799 6.141 5
-6.397 3.791 6.18 5
-6.458 3.758 6.292 5
-6.503 3.668 6.297 5
-6.507 3.673 6.323 5
-6.54 3.637 6.366 5
-6.532 3.623 6.45 5
-6.606 3.611 6.454 5
-6.601 3.629 6.51 5
-6.607 3.617 6.473 5
-6.553 3.599 6.457 5
-6.477 3.652 6.484 5
-6.387 3.676 6.444 5
-6.317 3.726 6.34 5
-6.306 3.737 6.32 5
-6.296 3.738 6.319 6
-6.313 3.717 6.279 5
-6.336 3.689 6.31 5
-6.368 3.64 6.304 5
-6.394 3.618 6.322 5
-6.455 3.629 6.327 5
-6.441 3.622 6.298 5
-6.448 3.621 6.31 5
-6.474 3.637 6.339 5
-6.467 3.656 6.347 5
-6.453 3.677 6.308 5
-6.452 3.64 6.319 5
-6.411 3.633 6.37 5
-6.388 3.627 6.44 5
-6.343 3.639 6.516 5
-6.318 3.695 6.503 5
-6.332 3.688 6.463 5
-6.302 3.689 6.5 5
-6.333 3.705 6.534 5
-6.349 3.725 6.52 5
-6.357 3.678 6.512 5
-6.386 3.704 6.498 5
-6.363 3.66 6.503 5
-6.346 3.686 6.472 5
-6.376 3.673 6.582 5
-6.372 3.647 6.494 5
-6.369 3.662 6.503 5
-6.364 3.657 6.491 5
-6.42 3.689 6.602 5
-6.354 3.659 6.526 6
-6.369 3.675 6.58 5
-6.389 3.659 6.481 5
-6.367 3.62 6.547 5
-6.37 3.613 6.643 5
-6.366 3.629 6.575 5
-6.365 3.625 6.598 5
-6.277 3.637 6.563 5
-6.266 3.626 6.547 5
-6.272 3.605 6.528 5
-6.276 3.655 6.47 5
-6.328 3.652 6.401 5
-6.352 3.637 6.452 5
-6.33 3.668 6.452 5
-6.304 3.693 6.485 5
-6.3 3.659 6.521 5
-6.271 3.64 6.509 5
-6.265 3.606 6.553 5
-6.31 3.586 6.602 5
-6.342 3.578 6.591 5
-6.329 3.555 6.58 5
-6.358 3.57 6.566 5
-6.367 3.584 6.571 5
-6.355 3.627 6.592 5
-6.312 3.645 6.594 5
-6.275 3.673 6.607 5
-6.281 3.682 6.645 5
-6.286 3.651 6.603 5
-6.27 3.63 6.558 6
-6.276 3.624 6.594 5
-6.308 3.627 6.618 5
-6.26 3.636 6.623 5
-6.252 3.649 6.612 5
-6.276 3.624 6.693 5
-6.252 3.637 6.75 5
-6.201 3.676 6.765 5
-6.171 3.678 6.788 5
-6.13 3.696 6.819 5
-6.137 3.713 6.835 5
-6.14 3.681 6.684 5
-6.191 3.647 6.648 5
-6.228 3.631 6.564 5
-6.227 3.641 6.527 5
-6.219 3.649 6.612 5
-6.25 3.642 6.637 5
-6.27 3.602 6.63 5
-6.27 3.583 6.613 5
-6.289 3.554 6.625 5
-6.281 3.569 6.636 5
-6.275 3.548 6.618 5
-6.274 3.572 6.62 5
-6.283 3.604 6.601 5
-6.274 3.604 6.65 5
-6.256 3.616 6.688 5
-6.267 3.591 6.701 5
-6.281 3.596 6.717 5
-6.26 3.599 6.755 6
-6.254 3.614 6.721 5
-6.263 3.64 6.713 5
-6.27 3.63 6.728 5
-6.304 3.622 6.663 5
-6.303 3.621 6.649 5
-6.306 3.613 6.616 5
-6.283 3.616 6.605 5
-6.286 3.602 6.652 5
-6.276 3.588 6.679 5
-6.272 3.613 6.633 5
-6.304 3.609 6.64 5
-6.33 3.579 6.654 5
-6.319 3.562 6.631 5
-6.271 3.555 6.618 5
-6.242 3.596 6.611 5
-6.226 3.565 6.576 5
-6.193 3.542 6.607 5
-6.236 3.575 6.645 5
-6.219 3.535 6.537 5
-6.272 3.537 6.654 5
-6.267 3.492 6.616 5
-6.299 3.52 6.658 5
-6.281 3.523 6.671 5
-6.327 3.535 6.654 5
-6.287 3.589 6.647 5
-6.279 3.582 6.64 5
-6.29 3.57 6.653 5
-6.295 3.559 6.539 6
-6.302 3.543 6.636 5
-6.304 3.605 6.55 5
-6.258 3.589 6.557 5
-6.247 3.609 6.573 5
-6.224 3.628 6.602 5
-6.208 3.615 6.625 5
-6.225 3.613 6.636 5
-6.216 3.626 6.684 5
-6.206 3.666 6.746 5
-6.177 3.647 6.694 5
-6.205 3.65 6.634 5
-6.253 3.648 6.64 5
-6.278 3.638 6.647 5
-6.279 3.607 6.654 5
-6.289 3.591 6.671 5
-6.295 3.595 6.695 5
-6.24 3.599 6.729 5
-6.226 3.598 6.783 5
-6.23 3.614 6.781 5
-6.23 3.636 6.687 5
-6.246 3.6 6.583 5
-6.262 3.619 6.568 5
-6.268 3.629 6.576 5
-6.254 3.619 6.59 5
-6.251 3.612 6.608 5
-6.231 3.609 6.64 5
-6.198 3.595 6.62 5
-6.239 3.584 6.628 5
-6.193 3.562 6.62 6
-6.185 3.548 6.57 5
-6.22 3.604 6.66 5
-6.192 3.616 6.529 5
-6.213 3.586 6.569 5
-6.155 3.573 6.604 5
-6.183 3.576 6.631 5
