2.358,0.577,9.227,0,
2.162,0.679,9.084,5,
1.981,0.768,8.902,5,
1.822,0.827,8.88,5,
1.72,0.859,8.937,5,
1.62,0.88,8.993,5,
1.527,0.86,9.069,5,
1.463,0.785,9.226,5,
1.449,0.699,9.348,5,
1.474,0.617,9.429,5,
1.53,0.591,9.468,5,
1.636,0.612,9.499,5,
1.722,0.62,9.495,5,
1.748,0.634,9.469,5,
1.788,0.674,9.475,5,
1.812,0.699,9.479,5,
1.786,0.732,9.46,5,
1.78,0.751,9.445,5,
1.764,0.788,9.435,5,
1.738,0.839,9.38,5,
1.746,0.883,9.275,5,
1.744,0.891,9.266,5,
1.735,0.883,9.285,5,
1.723,0.891,9.305,5,
1.698,0.914,9.306,5,
1.722,0.887,9.34,5,
1.73,0.9,9.417,5,
1.749,0.884,9.448,5,
1.762,0.878,9.434,5,
1.797,0.85,9.413,6,
1.789,0.872,9.318,5,
1.8,0.893,9.387,5,
1.78,0.895,9.343,5,
1.772,0.852,9.409,5,
1.746,0.858,9.365,5,
1.764,0.86,9.412,5,
1.721,0.838,9.459,5,
1.679,0.847,9.34,5,
1.644,0.807,9.403,5,
1.587,0.814,9.469,5,
1.588,0.854,9.473,5,
1.552,0.891,9.403,5,
1.553,0.897,9.34,5,
1.477,0.863,9.449,5,
1.445,0.843,9.34,5,
1.403,0.831,9.341,5,
1.373,0.775,9.297,5,
1.339,0.763,9.296,5,
1.329,0.745,9.285,5,
1.364,0.705,9.389,5,
1.358,0.702,9.499,5,
1.409,0.67,9.481,5,
1.396,0.65,9.474,5,
1.385,0.63,9.532,5,
1.359,0.585,9.461,5,
1.322,0.565,9.475,5,
1.337,0.554,9.483,5,
1.334,0.533,9.457,6,
1.331,0.532,9.496,5,
1.35,0.536,9.485,5,
1.409,0.523,9.468,5,
1.394,0.551,9.447,5,
1.401,0.572,9.537,5,
1.415,0.576,9.603,5,
1.428,0.581,9.582,5,
1.436,0.589,9.552,5,
1.43,0.571,9.544,5,
1.414,0.53,9.578,5,
1.36,0.516,9.673,5,
1.325,0.52,9.679,5,
1.316,0.494,9.624,5,
1.284,0.44,9.587,5,
1.225,0.401,9.562,5,
1.158,0.384,9.587,5,
1.12,0.383,9.515,5,
1.092,0.394,9.449,5,
1.037,0.392,9.434,5,
1.041,0.399,9.451,5,
1.02,0.409,9.451,5,
1.023,0.422,9.432,5,
1.074,0.446,9.434,5,
1.086,0.489,9.46,5,
1.124,0.518,9.462,5,
1.153,0.582,9.453,5,
1.187,0.58,9.46,5,
1.223,0.58,9.517,6,
1.24,0.549,9.527,5,
1.247,0.583,9.525,5,
1.28,0.618,9.506,5,
1.316,0.632,9.574,5,
1.355,0.651,9.565,5,
1.393,0.681,9.575,5,
1.472,0.731,9.679,5,
1.543,0.757,9.736,5,
1.591,0.859,9.787,5,
1.705,0.891,9.871,5,
1.755,0.945,9.909,5,
1.784,0.998,9.874,5,
1.818,0.998,9.951,5,
1.812,1.064,9.977,5,
1.798,1.065,10.014,5,
1.824,1.081,10.099,5,
1.761,1.076,10.122,5,
1.788,1.122,10.163,5,
1.775,1.133,10.125,5,
1.702,1.078,10.166,5,
1.677,1.074,10.235,5,
1.855,1.124,10.012,5,
2.003,1.239,9.774,5,
2.007,1.344,9.798,5,
1.888,1.272,9.775,5,
