RecordedDate	startTime	endTime	Calories	Distance	Height	lowLatitude	lowLongitude	highLatitude	highLongitude	avgSpeed	maxSpeed	minSpeed	stepCount	avgWeight	maxWeight	minWeight	bikingDuration	inactiveDuration	walkingDuration
11-21-2014	16:30:00.000+05:30	16:45:00.000+05:30				22.5761890411377	88.483039855957	22.5763835906982	88.4830780029297									900000	
11-21-2014	16:45:00.000+05:30	17:00:00.000+05:30																900000	
11-21-2014	17:00:00.000+05:30	17:15:00.000+05:30				22.5763053894043	88.4830474853516	22.5763912200928	88.4830627441406				1					900000	
11-21-2014	17:15:00.000+05:30	17:30:00.000+05:30				22.5763683319092	88.483039855957	22.5764179229736	88.4830474853516									900000	
11-21-2014	17:30:00.000+05:30	17:45:00.000+05:30				22.5762176513672	88.483039855957	22.576286315918	88.4830703735352				81					900000	
11-21-2014	17:45:00.000+05:30	18:00:00.000+05:30				22.5762119293213	88.4830093383789	22.5764350891113	88.4830322265625				194					368727	32551
11-21-2014	18:00:00.000+05:30	18:15:00.000+05:30				22.5760707855225	88.4830474853516	22.5763702392578	88.4830551147461				82					630376	
11-21-2014	18:15:00.000+05:30	18:30:00.000+05:30				22.5761909484863	88.4830780029297	22.5761909484863	88.4830780029297									900000	
11-21-2014	18:30:00.000+05:30	18:45:00.000+05:30				22.576229095459	88.4830703735352	22.576229095459	88.4830703735352									900000	
11-21-2014	18:45:00.000+05:30	19:00:00.000+05:30				22.5761528015137	88.4830551147461	22.5763568878174	88.4830703735352				32					819343	
11-21-2014	19:00:00.000+05:30	19:15:00.000+05:30				22.5762119293213	88.483024597168	22.5764083862305	88.4830703735352				4					900000	
11-21-2014	19:15:00.000+05:30	19:30:00.000+05:30											409					211263	264036
11-21-2014	19:30:00.000+05:30	19:45:00.000+05:30				22.580436706543	88.4377975463867	22.5817127227783	88.4609985351563				64					698	124597
11-21-2014	19:45:00.000+05:30	20:00:00.000+05:30				22.5803451538086	88.4380340576172	22.5805568695068	88.4393463134766				29					106494	
11-21-2014	20:00:00.000+05:30	20:15:00.000+05:30				22.5803451538086	88.4393463134766	22.5819683074951	88.4612884521484										
11-21-2014	20:15:00.000+05:30	20:30:00.000+05:30				22.6226482391357	88.4307861328125	22.6421699523926	88.4424667358399				350						228581
11-21-2014	20:30:00.000+05:30	20:45:00.000+05:30				22.64182472229	88.4327545166016	22.6662425994873	88.4430084228516										
11-21-2014	20:45:00.000+05:30	21:00:00.000+05:30				22.6662425994873	88.4430084228516	22.6856136322021	88.4486541748047				150				223360	342087	35129
11-21-2014	21:00:00.000+05:30	21:15:00.000+05:30																900000	
11-21-2014	21:15:00.000+05:30	21:30:00.000+05:30											6					259133	
11-21-2014	21:30:00.000+05:30	21:45:00.000+05:30																900000	
11-21-2014	21:45:00.000+05:30	22:00:00.000+05:30																900000	
11-21-2014	22:00:00.000+05:30	22:15:00.000+05:30											6					900000	
11-21-2014	22:15:00.000+05:30	22:30:00.000+05:30																900000	
11-21-2014	22:30:00.000+05:30	22:45:00.000+05:30																900000	
11-21-2014	22:45:00.000+05:30	23:00:00.000+05:30											1					900000	
11-21-2014	23:00:00.000+05:30	23:15:00.000+05:30											80					664363	
11-21-2014	23:15:00.000+05:30	23:30:00.000+05:30											5					900000	
11-21-2014	23:30:00.000+05:30	23:45:00.000+05:30											1					900000	
11-21-2014	23:45:00.000+05:30	00:00:00.000+05:30																900000	
11-22-2014	00:00:00.000+05:30	00:15:00.000+05:30											3					900000	
11-22-2014	00:15:00.000+05:30	00:30:00.000+05:30											3					900000	
11-22-2014	00:30:00.000+05:30	00:45:00.000+05:30											5					900000	
11-22-2014	00:45:00.000+05:30	01:00:00.000+05:30																900000	
11-22-2014	01:00:00.000+05:30	01:15:00.000+05:30																900000	
11-22-2014	01:15:00.000+05:30	01:30:00.000+05:30																900000	
11-22-2014	01:30:00.000+05:30	01:45:00.000+05:30																900000	
11-22-2014	01:45:00.000+05:30	02:00:00.000+05:30																900000	
11-22-2014	02:00:00.000+05:30	02:15:00.000+05:30																900000	
11-22-2014	02:15:00.000+05:30	02:30:00.000+05:30																900000	
11-22-2014	02:30:00.000+05:30	02:45:00.000+05:30																900000	
11-22-2014	02:45:00.000+05:30	03:00:00.000+05:30				22.6855888366699	88.4486236572266	22.6855888366699	88.4486236572266									900000	
11-22-2014	03:00:00.000+05:30	03:15:00.000+05:30																900000	
11-22-2014	03:15:00.000+05:30	03:30:00.000+05:30																900000	
11-22-2014	03:30:00.000+05:30	03:45:00.000+05:30																900000	
11-22-2014	03:45:00.000+05:30	04:00:00.000+05:30																900000	
11-22-2014	04:00:00.000+05:30	04:15:00.000+05:30																900000	
11-22-2014	04:15:00.000+05:30	04:30:00.000+05:30																900000	
11-22-2014	04:30:00.000+05:30	04:45:00.000+05:30				22.6856212615967	88.4486618041992	22.6856212615967	88.4486618041992									900000	
11-22-2014	04:45:00.000+05:30	05:00:00.000+05:30																900000	
11-22-2014	05:00:00.000+05:30	05:15:00.000+05:30				22.6855869293213	88.448616027832	22.6855869293213	88.448616027832									900000	
11-22-2014	05:15:00.000+05:30	05:30:00.000+05:30																900000	
11-22-2014	05:30:00.000+05:30	05:45:00.000+05:30																900000	
11-22-2014	05:45:00.000+05:30	06:00:00.000+05:30																900000	
11-22-2014	06:00:00.000+05:30	06:15:00.000+05:30																900000	
